Name,SteamId,CsmId
'Blueberries' Buckshot | NSWC SEAL,176209284,1083601
★ Bayonet | Scorched (Minimal Wear),1357369,8384
★ Bayonet | Scorched (Well-Worn),1509676,1112
★ Bayonet | Slaughter (Factory New),1331652,9302
★ Bayonet | Slaughter (Field-Tested),1332400,13653
★ Bayonet | Slaughter (Minimal Wear),1322522,11121
★ Bayonet | Stained (Battle-Scarred),1359605,9317
★ Bayonet | Stained (Factory New),1357213,23372
★ Bayonet | Stained (Field-Tested),1321952,45
★ Bayonet | Stained (Minimal Wear),1322527,14395
★ Bayonet | Stained (Well-Worn),1339026,9229
★ Bayonet | Tiger Tooth (Factory New),29490947,650
★ Bayonet | Tiger Tooth (Minimal Wear),31377654,19870
★ Bayonet | Ultraviolet (Battle-Scarred),29548408,738
★ Bayonet | Ultraviolet (Factory New),34456538,21559
★ Bayonet | Ultraviolet (Field-Tested),29219906,2396
★ Bayonet | Ultraviolet (Minimal Wear),29677645,1588
★ Bayonet | Ultraviolet (Well-Worn),29717287,14399
★ Bayonet | Urban Masked (Battle-Scarred),1338316,7129
★ Bayonet | Urban Masked (Factory New),3411939,542
★ Bayonet | Urban Masked (Field-Tested),1337003,9839
★ Bayonet | Urban Masked (Minimal Wear),1322322,3911
★ Bayonet | Urban Masked (Well-Worn),1337599,13396
★ Bayonet,1282847,1576
★ Bloodhound Gloves | Bronzed (Battle-Scarred),175855076,583
★ Bloodhound Gloves | Bronzed (Factory New),175870684,24431
★ Bloodhound Gloves | Bronzed (Field-Tested),175854384,5451
★ Bloodhound Gloves | Bronzed (Minimal Wear),175855626,1734
★ Bloodhound Gloves | Bronzed (Well-Worn),175854948,5432
★ Bloodhound Gloves | Charred (Battle-Scarred),175854971,10514
★ Bloodhound Gloves | Charred (Factory New),175864150,20306
★ Bloodhound Gloves | Charred (Field-Tested),175854647,815
★ Bloodhound Gloves | Charred (Minimal Wear),175854970,9564
★ Bloodhound Gloves | Charred (Well-Worn),175857384,19205
★ Bloodhound Gloves | Guerrilla (Battle-Scarred),175855213,3348
★ Bloodhound Gloves | Guerrilla (Factory New),175885998,18283
★ Bloodhound Gloves | Guerrilla (Field-Tested),175854564,9864
★ Bloodhound Gloves | Guerrilla (Minimal Wear),175855525,2353
★ Bloodhound Gloves | Guerrilla (Well-Worn),175855332,7179
★ Bloodhound Gloves | Snakebite (Battle-Scarred),175854914,2449
★ Bloodhound Gloves | Snakebite (Factory New),175877763,19865
★ Bloodhound Gloves | Snakebite (Field-Tested),175854483,10152
★ Bloodhound Gloves | Snakebite (Minimal Wear),175854513,7190
★ Bloodhound Gloves | Snakebite (Well-Worn),175854844,15749
★ Bowie Knife | Autotronic (Battle-Scarred),176263325,1087673
★ Bowie Knife | Autotronic (Factory New),176263285,1088078
★ Bowie Knife | Autotronic (Field-Tested),176263193,1087520
★ Bowie Knife | Autotronic (Minimal Wear),176263236,1087354
★ Bowie Knife | Autotronic (Well-Worn),176263323,1087766
★ Bowie Knife | Black Laminate (Battle-Scarred),176263219,1087579
★ Bowie Knife | Black Laminate (Factory New),176263461,1087675
★ Bowie Knife | Black Laminate (Field-Tested),176263276,1087413
★ Bowie Knife | Black Laminate (Minimal Wear),176263190,1087658
★ Bowie Knife | Black Laminate (Well-Worn),176263195,1087661
★ Bowie Knife | Blue Steel (Battle-Scarred),139673190,3319
★ Bowie Knife | Blue Steel (Factory New),140067676,21185
★ Bowie Knife | Blue Steel (Field-Tested),139673211,690
★ Bowie Knife | Blue Steel (Minimal Wear),139673208,2340
★ Bowie Knife | Blue Steel (Well-Worn),139705916,7660
★ Bowie Knife | Boreal Forest (Battle-Scarred),139833934,85
